match_week,attendance,home_position,away_position,home_performance,away_performance,home_avg_scored,away_avg_scored,home_avg_conceded,away_avg_conceded,home_performance_last_five,away_performance_last_five,home_performance_as_home,away_performance_as_away,home_avg_scored_as_home,away_avg_scored_as_away,home_avg_conceded_as_home,away_avg_conceded_as_away,home_posse,away_posse,home_shotsON,away_shotsON,home_shots,away_shots,home_passes,away_passes,home_corners,away_corners,home_offsides,away_offsides,home_yellows,away_yellows,home_reds,away_reds,home_fouls,away_fouls,Form_Home_Goals_Scored,Form_Home_Goals_Conceded,Form_Home_Shots,Form_Home_Possession,Form_Home_Points,Form_Away_Goals_Scored,Form_Away_Goals_Conceded,Form_Away_Shots,Form_Away_Possession,Form_Away_Points,HomeTeamResult
4,25944,10.0,1.0,0.33,1.0,2.33,4.33,2.0,1.0,0.0,0.0,0.0,1.0,2,2,3,1,42.2,57.8,6.0,8.0,22.0,14.0,382.0,548.0,5.0,7.0,0.0,5.0,2.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,9.333333333333334,48.96666666666667,1.0,0.0,0.0,21.333333333333332,57.166666666666664,3.0,L
4,26158,15.0,19.0,0.22,0.0,1.0,0.67,1.67,1.67,0.0,0.0,0.33,0.0,1,1,1,2,51.8,48.2,3.0,6.0,18.0,15.0,404.0,393.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,13.0,11.0,0.0,0.0,10.666666666666666,46.5,0.6666666666666666,0.0,0.0,10.0,43.666666666666664,0.0,L
4,24856,17.0,20.0,0.11,0.0,0.33,0.67,1.33,2.0,0.0,0.0,0.33,0.0,0,1,0,3,58.3,41.7,3.0,3.0,14.0,11.0,441.0,336.0,11.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,8.0,13.0,0.0,0.0,15.0,51.4,0.3333333333333333,0.0,0.0,16.666666666666668,47.199999999999996,0.0,D
4,16211,13.0,6.0,0.33,0.78,0.33,1.0,2.0,0.33,0.0,0.0,0.0,1.0,0,1,4,0,58.1,41.9,4.0,1.0,16.0,8.0,446.0,311.0,6.0,4.0,3.0,0.0,1.0,3.0,0.0,0.0,10.0,16.0,0.0,0.0,10.333333333333334,43.6,1.0,0.0,0.0,11.0,44.73333333333333,2.3333333333333335,D
5,22637,20.0,13.0,0.08,0.33,0.75,0.75,1.75,2.5,0.0,0.0,0.0,0.17,1,2,3,8,31.2,68.8,4.0,9.0,8.0,23.0,252.0,547.0,2.0,13.0,2.0,1.0,2.0,1.0,0.0,0.0,14.0,11.0,0.0,0.0,15.25,45.825,0.25,0.0,0.0,14.5,50.05,1.0,W
5,34248,8.0,4.0,0.5,0.67,1.25,0.75,0.75,0.25,0.0,0.0,0.67,0.67,3,1,1,0,41.1,58.9,2.0,6.0,11.0,22.0,309.0,436.0,4.0,9.0,2.0,2.0,1.0,1.0,0.0,0.0,14.0,12.0,0.0,0.0,11.0,47.3,1.5,0.0,0.0,10.25,44.025,2.0,D
5,21223,15.0,17.0,0.25,0.17,1.75,0.75,2.75,1.5,0.0,0.0,0.0,0.17,2,2,8,4,59.3,40.7,4.0,6.0,9.0,14.0,446.0,296.0,6.0,9.0,0.0,7.0,3.0,1.0,1.0,0.0,9.0,9.0,0.0,0.0,12.5,47.275000000000006,0.75,0.0,0.0,12.5,47.825,0.5,L
5,31576,11.0,10.0,0.33,0.42,0.75,0.75,1.25,1.0,0.0,0.0,0.17,0.17,2,0,3,3,47.2,52.8,5.0,1.0,19.0,10.0,372.0,438.0,4.0,9.0,3.0,2.0,2.0,1.0,0.0,0.0,14.0,8.0,0.0,0.0,15.333333333333334,54.93333333333334,1.3333333333333333,0.0,0.0,10.25,42.775,1.25,W
5,20341,19.0,14.0,0.17,0.25,0.0,0.75,1.25,1.25,0.0,0.0,0.33,0.5,0,2,0,2,53.7,46.3,4.0,5.0,10.0,15.0,560.0,476.0,2.0,8.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,9.0,0.0,0.0,13.5,57.925,0.5,0.0,0.0,11.25,44.8,0.75,W
5,24189,7.0,12.0,0.58,0.33,1.0,0.25,0.75,1.5,0.0,0.0,0.5,0.5,2,1,2,2,50.4,49.6,2.0,10.0,15.0,20.0,320.0,322.0,3.0,8.0,1.0,5.0,2.0,3.0,0.0,0.0,15.0,13.0,0.0,0.0,13.0,49.75,1.75,0.0,0.0,11.75,47.225,1.0,L
